,bdate,education_form,relation,education_status,langs,occupation_type,career_start,career_end,result
0,23.4.1990,Full-time,2.0,Student (Specialist),Русский;English,university,False,False,0
1,11.4,Distance Learning,4.0,Alumnus (Specialist),Русский,university,False,False,0
2,5.10,Full-time,0.0,Alumnus (Specialist),Русский,university,False,False,0
3,1.3.1967,Full-time,4.0,PhD,Русский,university,False,False,0
4,,Full-time,7.0,Alumnus (Specialist),Русский,university,False,False,0
5,13.2,,0.0,Alumnus (Specialist),False,work,2010,False,1
6,31.10,,0.0,Student (Bachelor's),Русский,university,2018,False,1
7,1.5.1990,Distance Learning,4.0,PhD,Русский,university,2010,2015,0
8,6.6.1990,Full-time,4.0,Student (Bachelor's),False,work,2007,False,1
9,2.10,Distance Learning,0.0,Student (Specialist),Русский,university,False,False,1
10,31.1.1990,Full-time,1.0,Student (Bachelor's),False,university,False,False,1
11,20.6,Distance Learning,4.0,Alumnus (Specialist),Русский,university,False,False,0
12,11.6,Part-time,6.0,Alumnus (Specialist),Русский,work,2007,False,1
13,15.3.1985,Full-time,4.0,Student (Specialist),False,university,False,False,0
14,,Full-time,4.0,Student (Bachelor's),Русский;English;Українська,university,False,False,0
15,22.3,Distance Learning,0.0,Student (Specialist),False,university,False,False,0
16,4.11.1993,Part-time,4.0,Student (Bachelor's),Русский,university,False,False,0
17,13.4.1987,Full-time,0.0,Alumnus (Specialist),False,university,False,False,0
18,18.5.1983,Full-time,4.0,Alumnus (Specialist),Українська,university,2007,2011,0
19,21.11,Full-time,1.0,Alumnus (Specialist),Русский,work,1980,False,0
20,7.10,Distance Learning,1.0,Alumnus (Specialist),Русский,university,False,False,0
21,25.1,Full-time,4.0,Alumnus (Specialist),False,work,2006,False,0
22,9.7,Full-time,0.0,Alumnus (Master's),False,university,False,False,1
23,,Full-time,0.0,Student (Specialist),Русский,university,False,False,1
24,16.12.1983,Full-time,4.0,Alumnus (Specialist),Русский,university,False,False,1
25,14.8.1985,Full-time,0.0,Alumnus (Specialist),False,work,2008,False,1
26,7.8,Distance Learning,4.0,Alumnus (Specialist),Русский;Саха тыла,work,2007,False,0
27,20.4.1989,Distance Learning,0.0,Alumnus (Bachelor's),Українська;Русский;English,work,2009,False,0
28,9.7.1981,Distance Learning,4.0,Alumnus (Specialist),Русский,work,2000,False,1
29,,Full-time,4.0,Student (Specialist),Русский,university,False,False,1
30,3.12.1992,Full-time,0.0,Student (Master's),False,university,False,False,1
31,29.6.1989,Full-time,1.0,Alumnus (Specialist),Українська;Русский;English,work,2014,False,1
32,21.12,Full-time,4.0,Student (Master's),Русский,university,False,False,0
