,id,sex,has_photo,has_mobile,followers_count,graduation,education_form,relation,education_status,langs,occupation_type,result
0,64100,2,1,1.0,150.0,2012.0,Full-time,2.0,Student (Specialist),Русский;English,university,0
1,46851,2,0,1.0,92.0,2011.0,Distance Learning,4.0,Alumnus (Specialist),Русский,university,0
2,13159,2,0,1.0,62.0,2012.0,Full-time,0.0,Alumnus (Specialist),Русский,university,0
3,59148,1,0,1.0,179.0,1989.0,Full-time,4.0,PhD,Русский,university,0
4,46429,2,0,1.0,74.0,2008.0,Full-time,7.0,Alumnus (Specialist),Русский,university,0
7,4093,2,0,1.0,112.0,2014.0,Distance Learning,4.0,PhD,Русский,university,0
8,63172,1,1,1.0,318.0,2012.0,Full-time,4.0,Student (Bachelor's),False,work,1
9,63848,1,1,1.0,294.0,2018.0,Distance Learning,0.0,Student (Specialist),Русский,university,1
10,66760,1,0,1.0,77.0,2011.0,Full-time,1.0,Student (Bachelor's),False,university,1
11,4682,2,1,1.0,23.0,2007.0,Distance Learning,4.0,Alumnus (Specialist),Русский,university,0
12,81358,1,1,1.0,3148.0,2010.0,Part-time,6.0,Alumnus (Specialist),Русский,work,1
13,2,2,1,1.0,86.0,2010.0,Full-time,4.0,Student (Specialist),False,university,0
14,17951,2,0,1.0,89.0,2013.0,Full-time,4.0,Student (Bachelor's),Русский;English;Українська,university,0
15,64151,2,1,1.0,243.0,2018.0,Distance Learning,0.0,Student (Specialist),False,university,0
16,62802,2,1,1.0,322.0,2015.0,Part-time,4.0,Student (Bachelor's),Русский,university,0
17,1865,2,0,1.0,212.0,2010.0,Full-time,0.0,Alumnus (Specialist),False,university,0
18,50575,2,0,1.0,62.0,2006.0,Full-time,4.0,Alumnus (Specialist),Українська,university,0
19,19315,2,1,1.0,86.0,1986.0,Full-time,1.0,Alumnus (Specialist),Русский,work,0
20,64317,2,1,1.0,76.0,2007.0,Distance Learning,1.0,Alumnus (Specialist),Русский,university,0
21,31338,2,1,1.0,68.0,2011.0,Full-time,4.0,Alumnus (Specialist),False,work,0
22,97656,1,0,1.0,606.0,2014.0,Full-time,0.0,Alumnus (Master's),False,university,1
23,10885,1,1,1.0,172.0,2012.0,Full-time,0.0,Student (Specialist),Русский,university,1
24,94635,2,0,1.0,69.0,2005.0,Full-time,4.0,Alumnus (Specialist),Русский,university,1
25,58985,1,1,1.0,369.0,2007.0,Full-time,0.0,Alumnus (Specialist),False,work,1
26,24011,2,0,1.0,588.0,2011.0,Distance Learning,4.0,Alumnus (Specialist),Русский;Саха тыла,work,0
27,8294,2,1,1.0,217.0,2011.0,Distance Learning,0.0,Alumnus (Bachelor's),Українська;Русский;English,work,0
28,65685,1,0,1.0,2837.0,2006.0,Distance Learning,4.0,Alumnus (Specialist),Русский,work,1
29,35159,2,0,1.0,954.0,2015.0,Full-time,4.0,Student (Specialist),Русский,university,1
30,12196,1,0,1.0,276.0,2017.0,Full-time,0.0,Student (Master's),False,university,1
31,22852,2,0,1.0,64.0,2010.0,Full-time,1.0,Alumnus (Specialist),Українська;Русский;English,work,1
32,7360,2,1,1.0,213.0,0.0,Full-time,4.0,Student (Master's),Русский,university,0
33,8124,2,0,1.0,0.0,1981.0,Full-time,0.0,Alumnus (Specialist),Русский,university,1
34,76884,1,1,1.0,476.0,0.0,Full-time,0.0,Student (Specialist),Русский;English,university,1
35,73194,2,0,1.0,305.0,2013.0,Full-time,6.0,Student (Specialist),Русский,university,0
36,10066,1,0,1.0,1204.0,2016.0,Full-time,4.0,Student (Bachelor's),Русский;Deutsch;English,university,1
